Party (partija),Candidate (kandidatas),Post Election No (numeris prieš rinkimus),Pre Election No (numeris po rinkimų)
Darbo partija,Viktor USPASKICH,1,1
Darbo partija,Loreta GRAUŽINIENĖ,2,3
Darbo partija,Vytautas GAPŠYS,3,2
Darbo partija,Artūras PAULAUSKAS,4,6
Darbo partija,Virginija BALTRAITIENĖ,5,4
Darbo partija,Kęstutis DAUKŠYS,6,10
Darbo partija,Dangutė MIKUTIENĖ,7,9
Darbo partija,Saulius BUCEVIČIUS,8,5
Darbo partija,Viktoras FIODOROVAS,9,8
Darbo partija,Živilė PINSKUVIENĖ,10,14
Darbo partija,Valdas SKARBALIUS,11,18
Darbo partija,Vydas GEDVILAS,12,11
Darbo partija,Valentinas BUKAUSKAS,13,7
Darbo partija,Vitalija VONŽUTAITĖ,14,13
Darbo partija,Šarūnas BIRUTIS,15,15
Darbo partija,Jonas KONDROTAS,16,20
Darbo partija,Jolanta GAUDUTIENĖ,17,21
Darbo partija,Darius ULICKAS,18,32
Darbo partija,Zita ŽVIKIENĖ,19,16
Darbo partija,Mečislovas ZASČIURINSKAS,20,12
Darbo partija,Sergej DMITRIJEV,21,27
Darbo partija,Jonas PINSKUS,22,140
Darbo partija,Vilija FILIPOVIČIENĖ,23,17
Darbo partija,Gediminas JAKAVONIS,24,33
Darbo partija,Gintaras TAMOŠIŪNAS,25,70
Darbo partija,Larisa DMITRIJEVA,26,34
Darbo partija,Aurimas TRUNCĖ,27,31
Darbo partija,Sergej URSUL,28,52
Darbo partija,Saulius JAKIMAVIČIUS,29,24
Darbo partija,Žilvinas PUTRAMENTAS,30,130
Darbo partija,Aidas GEDVILAS,31,29
Darbo partija,Aloyzas JOČYS,32,25
Darbo partija,Arvydas SABOCKIS,33,133
Darbo partija,Gediminas DALINKEVIČIUS,34,19
Darbo partija,Vytautas GRICIUS,35,57
Darbo partija,Ričardas SARGŪNAS,36,22
Darbo partija,Andžela ŠAKINIENĖ,37,35
Darbo partija,Vigilijus JUKNA,38,30
Darbo partija,Rytis ŠATKAUSKAS,39,141
Darbo partija,Danguolė MARTINKIENĖ,40,44
Darbo partija,Ritas VAIGINAS,41,23
Darbo partija,Paulius KALINA,42,28
Darbo partija,Gintaras Jonas FURMANAVIČIUS,43,42
Darbo partija,Raimundas MARKAUSKAS,44,66
Darbo partija,Raimundas PALIUKAS,45,26
Darbo partija,Nijolė JAGELAVIČIENĖ,46,40
Darbo partija,Raja KRUPENINA,47,50
Darbo partija,Viačeslav ŽDANOVIČ,48,118
Darbo partija,Giedrius MOZŪRAITIS,49,54
Darbo partija,Petras ČIMBARAS,50,43
Darbo partija,Antanas MAKAREVIČIUS,51,49
Darbo partija,Danguolė JUOZAPAVIČIENĖ,52,45
Darbo partija,Lijana JAGINTAVIČIENĖ,53,38
Darbo partija,Ingrida VENCIUVIENĖ,54,39
Darbo partija,Petras NARKEVIČIUS,55,37
Darbo partija,Marijus VELIČKA,56,81
Darbo partija,Ivanas ROMANOVAS,57,55
Darbo partija,Algimanta PABEDINSKIENĖ,58,51
Darbo partija,Gintautas KNIUKŠTA,59,36
Darbo partija,Svetlana KAUZONIENĖ,60,41
Darbo partija,Stanislovas TOMAS,61,72
Darbo partija,Snieguolė VICHROVIENĖ,62,115
Darbo partija,Sigitas BANKAUSKAS,63,89
Darbo partija,Rimvydas PODOLSKIS,64,73
Darbo partija,Audronė PITRĖNIENĖ,65,47
Darbo partija,Saulius GIEDRAITIS,66,69
Darbo partija,Kęstutis MAČIULIS,67,100
Darbo partija,Rima ZABLACKIENĖ,68,77
Darbo partija,Romas VENCLOVAS,69,56
Darbo partija,Arnoldas LINKEVIČIUS,70,98
Darbo partija,Aušra DEGUTYTĖ,71,125
Darbo partija,Saulius STANKEVIČIUS,72,46
Darbo partija,Gediminas GRIGAS,73,71
Darbo partija,Audrius BANIONIS,74,139
Darbo partija,Pranas VILKAS,75,61
Darbo partija,Vytautas LIEPA,76,76
Darbo partija,Žaneta SIMANAVIČIENĖ,77,53
Darbo partija,Mindaugas KIESAS,78,78
Darbo partija,Giedrė VITIENĖ,79,60
Darbo partija,Silvinija SIMONAITYTĖ,80,138
Darbo partija,Rita NAUDUŽIENĖ,81,134
Darbo partija,Algirdas GRICIUS,82,109
Darbo partija,Iveta SLABOŠEVIČIŪTĖ,83,135
Darbo partija,Gintaras STEPONĖNAS,84,58
Darbo partija,Mingailė BINKAUSKAITĖ,85,86
Darbo partija,Alfonsas PETRAUSKAS,86,80
Darbo partija,Rimantas TROTA,87,65
Darbo partija,Edmundas VAITEKŪNAS,88,95
Darbo partija,Anželika BANEVIČIENĖ,89,97
Darbo partija,Saulius GIRDAUSKAS,90,122
Darbo partija,Rimantas ADOMAITIS,91,67
Darbo partija,Benas ŠIMKUS,92,63
Darbo partija,Genoveita KRASAUSKIENĖ,93,64
Darbo partija,Antanas MARČIULIONIS,94,88
Darbo partija,Robertas Raimundas IŠGANAITIS,95,83
Darbo partija,Vaidotas GLOBYS,96,75
Darbo partija,Borisas MARKULIS,97,74
Darbo partija,Ovidijus URBANAVIČIUS,98,106
Darbo partija,Egidijus GOVEDAS,99,79
Darbo partija,Arūnas LUKOŠEVIČIUS,100,84
Darbo partija,Mindaugas JURČIUS,101,82
Darbo partija,Antanas BURINSKAS,102,59
Darbo partija,Tomas URBANAVIČIUS,103,132
Darbo partija,Aidas MIKĖNAS,104,101
Darbo partija,Edgaras KUTURYS,105,111
Darbo partija,Marius VASILEVIČIUS,106,48
Darbo partija,Arūnas BACEVIČIUS,107,85
Darbo partija,Irina NOVIKOVA,108,127
Darbo partija,Natalja ŠLIACHTIČ,109,121
Darbo partija,Alina GOREVAJA,110,92
Darbo partija,Sigytas KLIMAS,111,94
Darbo partija,Darius JANKŪNAS,112,68
Darbo partija,Juozas GIRČYS,113,104
Darbo partija,Valentina KOZLOVSKAJA,114,129
