Distirct No (apylinkės nr.),Party No (partijos nr.),Constituency No (apygardos nr.),By post (balsai paštu),Distirct (apylinkė),In distirct (balsai apylinkėje),Party (partija),Constituency (apygarda),Total (balsai iš viso),Valid ballot papers percent (galiojančių biuletenių skaičius)
459,3,1,15,Gimnazijos,171,Darbo partija,Naujamiesčio,186,22.74
459,8,1,2,Gimnazijos,99,Lietuvos socialdemokratų partija,Naujamiesčio,101,12.35
459,5,1,1,Gimnazijos,100,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Naujamiesčio,101,12.35
459,1,1,,Gimnazijos,46,Lietuvos Respublikos liberalų sąjūdis,Naujamiesčio,46,5.62
458,3,1,15,Brolių,222,Darbo partija,Naujamiesčio,237,23.84
458,8,1,3,Brolių,103,Lietuvos socialdemokratų partija,Naujamiesčio,106,10.66
458,5,1,11,Brolių,122,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Naujamiesčio,133,13.38
458,1,1,3,Brolių,67,Lietuvos Respublikos liberalų sąjūdis,Naujamiesčio,70,7.04
458,6,1,,Brolių,63,„Drąsos kelias“ politinė partija,Naujamiesčio,63,6.34
458,9,1,3,Brolių,45,Partija Tvarka ir teisingumas,Naujamiesčio,48,4.83
1,3,67,42,Birštono m.,121,Darbo partija,Prienų - Birštono,163,11.59
1,8,67,30,Birštono m.,427,Lietuvos socialdemokratų partija,Prienų - Birštono,457,32.5
1,5,67,36,Birštono m.,172,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Prienų - Birštono,208,14.79
1,1,67,21,Birštono m.,92,Lietuvos Respublikos liberalų sąjūdis,Prienų - Birštono,113,8.04
1,6,67,24,Birštono m.,143,„Drąsos kelias“ politinė partija,Prienų - Birštono,167,11.88
1,9,67,20,Birštono m.,80,Partija Tvarka ir teisingumas,Prienų - Birštono,100,7.11
459,6,1,1,Gimnazijos,35,„Drąsos kelias“ politinė partija,Naujamiesčio,36,4.4
459,9,1,1,Gimnazijos,43,Partija Tvarka ir teisingumas,Naujamiesčio,44,5.38
459,7,1,2,Gimnazijos,164,Lietuvos lenkų rinkimų akcija,Naujamiesčio,166,20.29
459,14,1,,Gimnazijos,10,Lietuvos valstiečių ir žaliųjų sąjunga,Naujamiesčio,10,1.22
459,16,1,,Gimnazijos,19,Liberalų ir centro sąjunga,Naujamiesčio,19,2.32
459,18,1,1,Gimnazijos,26,Politinė partija „Sąjunga Taip“,Naujamiesčio,27,3.3
459,13,1,1,Gimnazijos,64,Socialistinis liaudies Frontas,Naujamiesčio,65,7.95
458,7,1,7,Brolių,163,Lietuvos lenkų rinkimų akcija,Naujamiesčio,170,17.1
458,14,1,3,Brolių,10,Lietuvos valstiečių ir žaliųjų sąjunga,Naujamiesčio,13,1.31
458,16,1,2,Brolių,18,Liberalų ir centro sąjunga,Naujamiesčio,20,2.01
458,18,1,6,Brolių,26,Politinė partija „Sąjunga Taip“,Naujamiesčio,32,3.22
458,13,1,,Brolių,63,Socialistinis liaudies Frontas,Naujamiesčio,63,6.34
458,11,1,1,Brolių,6,Krikščionių partija,Naujamiesčio,7,0.7
458,10,1,1,Brolių,11,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Naujamiesčio,12,1.21
458,15,1,,Brolių,8,Partija „Jaunoji Lietuva“,Naujamiesčio,8,0.8
1,7,67,,Birštono m.,1,Lietuvos lenkų rinkimų akcija,Prienų - Birštono,1,0.07
1,14,67,6,Birštono m.,27,Lietuvos valstiečių ir žaliųjų sąjunga,Prienų - Birštono,33,2.35
1,16,67,3,Birštono m.,41,Liberalų ir centro sąjunga,Prienų - Birštono,44,3.13
1,18,67,10,Birštono m.,11,Politinė partija „Sąjunga Taip“,Prienų - Birštono,21,1.49
1,13,67,2,Birštono m.,25,Socialistinis liaudies Frontas,Prienų - Birštono,27,1.92
1,11,67,1,Birštono m.,24,Krikščionių partija,Prienų - Birštono,25,1.78
1,10,67,2,Birštono m.,21,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Prienų - Birštono,23,1.64
1,15,67,3,Birštono m.,6,Partija „Jaunoji Lietuva“,Prienų - Birštono,9,0.64
457,3,1,6,Naujininkų,173,Darbo partija,Naujamiesčio,179,18.94
457,8,1,5,Naujininkų,123,Lietuvos socialdemokratų partija,Naujamiesčio,128,13.54
457,5,1,6,Naujininkų,130,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Naujamiesčio,136,14.39
457,1,1,3,Naujininkų,69,Lietuvos Respublikos liberalų sąjūdis,Naujamiesčio,72,7.62
457,6,1,3,Naujininkų,52,„Drąsos kelias“ politinė partija,Naujamiesčio,55,5.82
459,11,1,1,Gimnazijos,1,Krikščionių partija,Naujamiesčio,2,0.24
459,10,1,,Gimnazijos,7,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Naujamiesčio,7,0.86
459,15,1,,Gimnazijos,1,Partija „Jaunoji Lietuva“,Naujamiesčio,1,0.12
459,4,1,,Gimnazijos,1,Demokratinė darbo ir vienybės partija,Naujamiesčio,1,0.12
459,17,1,,Gimnazijos,2,Emigrantų partija,Naujamiesčio,2,0.24
459,2,1,,Gimnazijos,2,Respublikonų partija,Naujamiesčio,2,0.24
459,12,1,,Gimnazijos,2,Lietuvos žmonių partija,Naujamiesčio,2,0.24
458,4,1,,Brolių,3,Demokratinė darbo ir vienybės partija,Naujamiesčio,3,0.3
458,17,1,,Brolių,3,Emigrantų partija,Naujamiesčio,3,0.3
458,2,1,,Brolių,2,Respublikonų partija,Naujamiesčio,2,0.2
458,12,1,,Brolių,4,Lietuvos žmonių partija,Naujamiesčio,4,0.4
1,4,67,1,Birštono m.,5,Demokratinė darbo ir vienybės partija,Prienų - Birštono,6,0.43
1,17,67,,Birštono m.,6,Emigrantų partija,Prienų - Birštono,6,0.43
1,2,67,,Birštono m.,2,Respublikonų partija,Prienų - Birštono,2,0.14
1,12,67,,Birštono m.,1,Lietuvos žmonių partija,Prienų - Birštono,1,0.07
457,9,1,1,Naujininkų,42,Partija Tvarka ir teisingumas,Naujamiesčio,43,4.55
457,7,1,6,Naujininkų,168,Lietuvos lenkų rinkimų akcija,Naujamiesčio,174,18.41
457,14,1,,Naujininkų,6,Lietuvos valstiečių ir žaliųjų sąjunga,Naujamiesčio,6,0.63
457,16,1,1,Naujininkų,20,Liberalų ir centro sąjunga,Naujamiesčio,21,2.22
457,18,1,2,Naujininkų,41,Politinė partija „Sąjunga Taip“,Naujamiesčio,43,4.55
457,13,1,2,Naujininkų,62,Socialistinis liaudies Frontas,Naujamiesčio,64,6.77
457,11,1,,Naujininkų,4,Krikščionių partija,Naujamiesčio,4,0.42
457,10,1,,Naujininkų,11,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Naujamiesčio,11,1.16
457,15,1,,Naujininkų,2,Partija „Jaunoji Lietuva“,Naujamiesčio,2,0.21
457,4,1,,Naujininkų,2,Demokratinė darbo ir vienybės partija,Naujamiesčio,2,0.21
457,17,1,,Naujininkų,1,Emigrantų partija,Naujamiesčio,1,0.11
457,2,1,,Naujininkų,4,Respublikonų partija,Naujamiesčio,4,0.42
457,12,1,,Naujininkų,,Lietuvos žmonių partija,Naujamiesčio,,
17,3,1,14,Algirdo,218,Darbo partija,Naujamiesčio,232,14.44
17,8,1,5,Algirdo,172,Lietuvos socialdemokratų partija,Naujamiesčio,177,11.01
17,5,1,27,Algirdo,347,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Naujamiesčio,374,23.27
17,1,1,10,Algirdo,215,Lietuvos Respublikos liberalų sąjūdis,Naujamiesčio,225,14.0
17,6,1,2,Algirdo,102,„Drąsos kelias“ politinė partija,Naujamiesčio,104,6.47
17,9,1,2,Algirdo,58,Partija Tvarka ir teisingumas,Naujamiesčio,60,3.73
16,3,1,21,Naugarduko,272,Darbo partija,Naujamiesčio,293,20.91
16,8,1,11,Naugarduko,183,Lietuvos socialdemokratų partija,Naujamiesčio,194,13.85
16,5,1,12,Naugarduko,198,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Naujamiesčio,210,14.99
16,1,1,9,Naugarduko,93,Lietuvos Respublikos liberalų sąjūdis,Naujamiesčio,102,7.28
16,6,1,8,Naugarduko,99,„Drąsos kelias“ politinė partija,Naujamiesčio,107,7.64
34,3,67,11,Stakliškių,75,Darbo partija,Prienų - Birštono,86,23.06
34,8,67,17,Stakliškių,84,Lietuvos socialdemokratų partija,Prienų - Birštono,101,27.08
34,5,67,2,Stakliškių,32,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Prienų - Birštono,34,9.12
34,1,67,4,Stakliškių,12,Lietuvos Respublikos liberalų sąjūdis,Prienų - Birštono,16,4.29
34,6,67,3,Stakliškių,25,„Drąsos kelias“ politinė partija,Prienų - Birštono,28,7.51
17,7,1,10,Algirdo,184,Lietuvos lenkų rinkimų akcija,Naujamiesčio,194,12.07
17,14,1,1,Algirdo,35,Lietuvos valstiečių ir žaliųjų sąjunga,Naujamiesčio,36,2.24
17,16,1,1,Algirdo,26,Liberalų ir centro sąjunga,Naujamiesčio,27,1.68
17,18,1,1,Algirdo,72,Politinė partija „Sąjunga Taip“,Naujamiesčio,73,4.54
17,13,1,1,Algirdo,48,Socialistinis liaudies Frontas,Naujamiesčio,49,3.05
17,11,1,,Algirdo,18,Krikščionių partija,Naujamiesčio,18,1.12
17,10,1,1,Algirdo,17,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Naujamiesčio,18,1.12
17,15,1,,Algirdo,10,Partija „Jaunoji Lietuva“,Naujamiesčio,10,0.62
16,9,1,,Naugarduko,74,Partija Tvarka ir teisingumas,Naujamiesčio,74,5.28
16,7,1,12,Naugarduko,227,Lietuvos lenkų rinkimų akcija,Naujamiesčio,239,17.06
16,14,1,1,Naugarduko,20,Lietuvos valstiečių ir žaliųjų sąjunga,Naujamiesčio,21,1.5
16,16,1,2,Naugarduko,16,Liberalų ir centro sąjunga,Naujamiesčio,18,1.28
16,18,1,4,Naugarduko,45,Politinė partija „Sąjunga Taip“,Naujamiesčio,49,3.5
16,13,1,,Naugarduko,51,Socialistinis liaudies Frontas,Naujamiesčio,51,3.64
16,11,1,1,Naugarduko,10,Krikščionių partija,Naujamiesčio,11,0.79
16,10,1,,Naugarduko,17,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Naujamiesčio,17,1.21
34,9,67,10,Stakliškių,31,Partija Tvarka ir teisingumas,Prienų - Birštono,41,10.99
34,7,67,,Stakliškių,,Lietuvos lenkų rinkimų akcija,Prienų - Birštono,,
34,14,67,7,Stakliškių,31,Lietuvos valstiečių ir žaliųjų sąjunga,Prienų - Birštono,38,10.19
34,16,67,,Stakliškių,3,Liberalų ir centro sąjunga,Prienų - Birštono,3,0.8
34,18,67,,Stakliškių,4,Politinė partija „Sąjunga Taip“,Prienų - Birštono,4,1.07
34,13,67,,Stakliškių,2,Socialistinis liaudies Frontas,Prienų - Birštono,2,0.54
